,Data,quem,origem,valor
0,26/07/2018,DOADOR BLAH,paypal,"47,0"
1,26/07/2018,DOADOR BLAH,paypal,"37,48"
2,25/07/2018,DOADOR BLAH,paypal,"94,61"
3,25/07/2018,DOADOR BLAH,paypal,"18,44"
4,24/07/2018,DOADOR BLAH,paypal,"94,61"
5,23/07/2018,DOADOR BLAH,paypal,"13,68"
6,22/07/2018,DOADOR BLAH,paypal,"47,0"
7,22/07/2018,DOADOR BLAH,paypal,"8,92"
8,22/07/2018,DOADOR BLAH,paypal,"47,0"
9,22/07/2018,DOADOR BLAH,paypal,"9,87"
10,22/07/2018,DOADOR BLAH,paypal,"47,0"
11,22/07/2018,DOADOR BLAH,paypal,"8,92"
12,21/07/2018,DOADOR BLAH,paypal,"94,61"
13,20/07/2018,DOADOR BLAH,paypal,"93,0"
14,18/07/2018,DOADOR BLAH,paypal,"94,61"
15,14/07/2018,DOADOR BLAH,paypal,"94,61"
16,13/07/2018,DOADOR BLAH,paypal,"94,61"
17,13/07/2018,DOADOR BLAH,paypal,"23,2"
18,13/07/2018,DOADOR BLAH,paypal,"56,53"
19,13/07/2018,DOADOR BLAH,paypal,"18,44"
20,13/07/2018,DOADOR BLAH,paypal,"18,44"
21,12/07/2018,DOADOR BLAH,paypal,"37,48"
22,07/07/2018,DOADOR BLAH,paypal,"8,92"
23,04/07/2018,DOADOR BLAH,paypal,"-880,0"
24,03/07/2018,DOADOR BLAH,paypal,"18,44"
25,03/07/2018,DOADOR BLAH,paypal,"27,96"
0,31/07/2018,Pagamento,mercado pago,"-16,9"
1,31/07/2018,Entrada de dinheiro,mercado pago,"16,9"
2,26/07/2018,Pagamento,mercado pago,"-82,17"
3,26/07/2018,Entrada de dinheiro,mercado pago,"82,17"
4,22/07/2018,Pagamento,mercado pago,"-25,07"
5,22/07/2018,Entrada de dinheiro,mercado pago,"25,07"
6,22/07/2018,Pagamento,mercado pago,"-128,45"
7,22/07/2018,Entrada de dinheiro,mercado pago,"128,45"
8,22/07/2018,Tarifa pelao saque de dinheiro,mercado pago,"-3,0"
9,22/07/2018,Saque de dinheiro para conta bancária,mercado pago,"-197,0"
10,22/07/2018,Pagamento,mercado pago,"-96,5"
11,22/07/2018,Entrada de dinheiro,mercado pago,"96,5"
12,19/07/2018,Pagamento,mercado pago,"-55,99"
13,19/07/2018,Entrada de dinheiro,mercado pago,"55,99"
14,18/07/2018,Tarifa de envio,mercado pago,"-20,9"
15,18/07/2018,Recebimento,mercado pago,"220,9"
16,17/07/2018,Tarifa pelao saque de dinheiro,mercado pago,"-3,0"
17,17/07/2018,Saque de dinheiro para conta bancária,mercado pago,"-118,1"
18,13/07/2018,Devolução por Compra Garantida,mercado pago,"-28,9"
19,06/07/2018,Pagamento,mercado pago,"-23,43"
20,06/07/2018,Entrada de dinheiro,mercado pago,"23,43"
21,06/07/2018,Pagamento,mercado pago,"-23,43"
22,06/07/2018,Entrada de dinheiro,mercado pago,"23,43"
23,06/07/2018,Pagamento,mercado pago,"-59,88"
24,06/07/2018,Entrada de dinheiro,mercado pago,"59,88"
25,06/07/2018,Pagamento,mercado pago,"-151,88"
26,06/07/2018,Entrada de dinheiro,mercado pago,"151,88"
27,03/07/2018,Pagamento,mercado pago,"-96,5"
28,03/07/2018,Entrada de dinheiro,mercado pago,"96,5"
29,03/07/2018,Pagamento,mercado pago,"-109,5"
30,03/07/2018,Entrada de dinheiro,mercado pago,"109,5"
0,01/07/2018,REM BASICA,caixa,"0,0"
1,01/07/2018,CRED JUROS,caixa,"0,19"
2,03/07/2018,CRED TEV,caixa,"75,0"
3,03/07/2018,CP ELECTRO,caixa,"-137,7"
4,08/07/2018,REM BASICA,caixa,"0,0"
5,08/07/2018,CRED JUROS,caixa,"2,89"
6,10/07/2018,CRED TEV,caixa,"100,0"
7,10/07/2018,CRED TEV,caixa,"65,0"
8,10/07/2018,CP ELECTRO,caixa,"-201,69"
9,12/07/2018,CRED TEV,caixa,"66,66"
10,12/07/2018,CP ELECTRO,caixa,"-106,89"
11,15/07/2018,REM BASICA,caixa,"0,0"
12,15/07/2018,CRED JUROS,caixa,"0,45"
13,17/07/2018,CRED TEV,caixa,"50,0"
14,17/07/2018,CRED TEV,caixa,"30,0"
15,17/07/2018,CP ELECTRO,caixa,"-73,89"
16,18/07/2018,REM BASICA,caixa,"0,0"
17,18/07/2018,CRED JUROS,caixa,"2,99"
18,20/07/2018,CRED TED,caixa,"635,06"
19,20/07/2018,DOC ELET,caixa,"20,0"
20,26/07/2018,PAG FONE,caixa,"-75,8"
21,26/07/2018,PAG AGUA,caixa,"-149,6"
22,28/07/2018,REM BASICA,caixa,"0,0"
23,28/07/2018,CRED JUROS,caixa,"3,07"
